topic_num	topic_size	topic_words	theme_label	Notes	theme_label_short
56	101	gynaecoloog gynaecologisch narcose baarmoeder chemo bestraling ingreep gynaecologie ruggenprik eierstok poliklinisch chemokuur kinderwens huisarts pijnstilling zwangerschap uroloog uitzaaiing cyst tumor oncoloog keizersnede chemotherapie operatief biopsie borstkanker pijnbestrijding baarmoederhals ziekenhuisbezoek eierstokkanker eileider prematuur bloedonderzoek radioloog ziekenhuisopname verloskundige knobbeltje buikwand baarmoederhalskanker oncologie amc voldragen verloskundig scan katheter bloedwaarde behandelplan internist keizersnee bevalling	medicine/health		medicine / health
57	100	verandatrap baptistenkerk hordeur achterveranda earl schommelstoel voorveranda veranda mama’s maïsbrood zondagsschool mamats allemens sadie schommelbank lunchtrommel ijsthee papa’s kansas picknick mama kerkzaal zondags kersentaart alabama voorraam buiten-wc methodist grasvlek asjemenou dominee slaapkamerraam lievelingsstoel oma’s picknicks achtertuin theepartijtje oma schorten dansfeest countryclub eleanor mississippi zomerlucht dansavond openemen dichtden schoolbus papa cora	culture;geography and setting		culture;geography & setting
58	100	nsdap hitler führer goebbels naziregime nazipartij nationaalsocialist himmler nationaalsocialistisch adolf rijkskanselier berlijn wehrmacht duitslands göring weimarrepubliek hindenburg neurenberg putsch nationaalsocialisme hitlerjugend beiers nazi-duitsland oost-pruisen oostfront von anschluss waffen-ss machtsovername berlijns breslau endlösung ss nazistisch bolsjewisme münchen nazi’s duitsland reich nazisme reinhard rijksdag hermann weimar potsdam derde erich nazi heinrich arisch	war;history		war;history
59	99	kahneman bias statistisch correlatie voorspeller validiteit experiment proefpersoon statisticustictatisticisti kwantificeren significant steekproef variabel uitkomst steekproeven onderzoeker denkfouten controlegroep statisticus beoordeling incentive scores accuraat deelnemer consistent meta-analyse correleren inschatting beoordelaar onderzoeksresultaat denkfout extrapoleren indicator groepsdenken score standandarenierden betrouwbaard feilbaar vervolgonderzoek vertekening test onderzoeksgegeven aantonen maximaliseren cognitief vooringenomenheid scale tessen respondent irrelevant	science		science
60	98	geneeswijze acupunctuur geneeswijs acupuncturist homeopathie complementair geneeskunde holistisch behandelmethoden therapieën geneeskunst manueel meridiaan homeopathisch behandelmethode energetisch geneeskracht psychosomatisch harmoniseren energiestroom antroposofisch behandelaar therapeutisch anamnese blokkades somatisch ziekteverschijnsel levensenergie wervelkolom onevenwichtigheid spierspanning genezingsproces regulier qi ziekmaken nezen healing behandelplan diagnostiek rugpijn onbalans disbalan zenuwstelsel zenuwpijn energieveld werkzaamheid therapeuten werking chronisch uitscheiding	medicine/health		medicine / health
61	97	cock warmoesstraat recherchekamer gebaartje schouderbeweging denkrimpel speurder accolade schuins wachtcommandant caféhouder damrak secondenlang blikken keizersgracht appie duimen henkie toegangsdeur rechercheur diender lokaaltje buuren purmerend versomberen borstomvang berustend tuitje snoof helgroen beziggen wrevelig vermoord kriegel nieuwendijk vreugdeloos gulpen prinsengracht kennersblik beminnelijk affecteren gniffelen houdertje croix luitje regenjas zijzak onaandoenlijk witzijden vergleden	crime;geography and setting		crime;geography & setting
62	97	buick verrekt honkbalhandschoen maine shining eddies susannah eddie drugstore scherpschutter jezusnaam rottigheid stationcar krankzinnig sox bumpersticker welzeker honkbalveld telefoonpaal motelkamer dromenvanger verrekken oogbal achterveranda honkballen hampshire vuilnisvat honkbalwedstrijd cadillac pete munttelefoon pick-up honkbal honkbalknuppel dean pontiac griezelig herb griezelfilm donderkop godvergeten geschiffen allejezus kloteding honkballer neonbord motel passagiersplaats rotding góéd	crime		crime
63	97	elftal bondscoach doelpunt voetballer middenvelder doelman psv voetbal champions trainer wk keeper cruijff kwartfinale speler fc strafschop topspeler uitwedstrijd profvoetballer ajax eredivisie feyenoord penalty gaal supporter thuiswedstrijd bayern gelijkspel finale ronaldo messi aftrap arsenal medespeler wedstrijd voorzet inter gelijkmaker sterspeler rijkaard pep blesseren transfer basten goal voetbalclub voetballen league competitie	lifestyle and sport		lifestyle & sport
64	94	tiberius romeins gaius plinius plutarchus caesar legioenen tacitus nero caesars claudius gallië caligula antonius romein hadrianus dio consuls carthago galliër triomftocht maximus flavius brutus germania cleopatra cassius gallisch legionair cicero rome romeinse gladiatoor romulus senatoor brittannië romanum klein-azië macedonië macedonisch pallas horatius oorlogsbuit senaat oorlogen lucius keizer gladiator seneca geschiedschrijver	history;geography and setting		history;geography & setting
65	94	boomstam dennennaald boomgrens boomtak bergkam boomstronken wildernis naaldboom beekje snelstromen boomwortel dennenboom eland rotsrichel boomstronk overhangen spar meer trail riviertje boomschor kampeerplek kreek bergrug kreupelhout jeneverbesstruik dichtbegroeien bast bergkamm ondiep bosgrond laaghangend berghelling waterval smeltwater mossig sneeuwschoen klove herten helling rivierbedding dichtbegroeid vislijn bladerdak bergtop snelstromend kniediep twijg bosbodem trektocht	wildlife/nature		wildlife / nature
66	92	seksuoloog seksualiteit seksueel seks sek seksleven masturbatie sekspartner heteroseksueel geslachtsgemeenschap bedpartner coïtus penetratie anaal geslachtsdel zelfbevrediging genitaal geslachtsdaad vaginat aseksueel masturberen porno lustobject biseksueel penetreren ejaculatie geslachtsverkeer vagina genitaliën zaadlozing geslachtsorgaan erotiek orgasme mannelijkheid vulva voorlichting erotisch vaginaal pornografie penis sekse erogeen erotiseren geslachtsdeel hetero’s monogaam piemel monogamie lesbisch transgender	medicine/health;romance and sex		medicine / health;romance & sex
67	91	diepst levensweg beperktheid deemoed ootmoed ervaar verwerkelijken zelfverloochening liefdeloosheid ontvankelijkheid levenshouding mens-zijn verinnerlijking dorheid zachtmoedigheid mildheid ascese volheid voorleven contemplatie verinnerlijken medemens benedictus nederigheid liefheffen voortkommen zelfonderzoek liefhebben medebroeder geestelijke wezenlijk onvolmaaktheid doorleven verborgene kleinheid doorvoelen ontferming zelfkennis bewogenheid uittillen goedheid krenking verscheurdheid contemplatief passiviteit overwinten volkomenheid veeleer openbaren zwakheid	society;behaviours/feelings		society;behaviours / feelings
68	91	krijgsgevangenenkamp résistance moff loopgraven duitser artillerievuur loopgraaf inkwartiëren bomkrater granaatscherf somme luftwaffe gestapo veldhospitaal luchtafweergeschut korporaal sergeant verduisteringsgordijn munitiefabriek monsieur pétain legervoertuig schuttersputje shellshock machinegeweren luchtaanval maman hospik chateau mademoiselle rantsoenen normandië mof afweergeschut amiens granaat medesoldaten burgerkleren geallieerde luitenant bajonet bommenwerper mitrailleur madame saint-michel spertijd majoor bombardement zandzak uniformjas	war;history		war;history
69	91	rianne ongezellig tegengevallen laconiek vakantieplan onbezorgd verweten schoonzusje meevallen gewoonweg flinker christa langzamerhand onverwachts meewillen gezelligs thuiszitten doodongelukkig moedeloos toblen bezoekregeling schoonouder logeerpartij doeddoen kribbig gezeur wimpelen collegaat omvligen dupe plompverloor flapuit dolgelukkig samenwonen kattig tobben duster landerig thuisblijven enerverend tegenvallen goedbedoeld gevweden zuurzoet zeuren bedisselen ronduit ruziet piekeren vinnig	behaviours/feelings	may be also family or society	behaviours / feelings
70	90	kronken pik frinzen slipje sneken fluiseren klaarkomen grijns kinky erectie dij sexy billenkoek giechelpen kutje geil neuken klaarken kreun tepel stijve bil genot streling sensueel boxershort neukpartij fleppen vibrator supersexy sexyer lepeltje-lepel vluggertje orgasme spreien topje schrijlings natheid bezitterig opwindend kont beha grinneken wellustig kmaken verleidelijk klit schatje clitoris venusheuvel	romance and sex		romance & sex
71	89	bands bandlid beatles hitparade rock-’n-roll hitlijst popmuziek gitarist songwriter voorprogramma album singer-songwriter hit songs clapton rolling blues ballad rockband beatle platenmaatschappij bassist track muziekwereld artiest hits reggae drummer synthesizer soundtrack muziekindustrie leadzanger bowie hiphop rocker tournee punk popgroep u2 mccartney springsteen rockster release funky platenzaak backstag gitaarspel stones achtergrondkoor rock	culture		culture
72	88	wambuis abt tonsuur cromwell kanunnik edeel kamerheer schout chirurgijn abdij prelaat ganzenveer hooggeboren abdis pij edellieden perkament leerjongen stadswacht brandstapel stadspoort hertog mantel refter horig kloostergang ridder maliënkolder bediend broeder hellebaard valhek kapittel ketter hertogelijk poortgebouw bisschoppelijk geldbuidel biechtvader stadsmuren toorts monnikspij kerker edelman suffolk stromatras strozak edelvrouw zilverstuk kloostermuren	history		history
73	87	yuan beijing chinees shanghai mao zhang peking liu deng fu yu china zedong dong china’s hong lao li taiwanees volksrepubliek hongkong yang xi taiwan gele chen wen lu ming huang vietnamees hemelse wu confucius chan hanoi sjanghai pagode chi hai can taoïstisch cheng confucianisme mandarijn koreaans saigon eetstok feng lin	culture;geography and setting		culture;geography & setting
74	86	gevest zwaardvechter zwaarden kling schede dolk acoliet wapenrusting wachter borstplaat kromzwaard boogpees stadswacht gooden maliënkolder kuras tuniek krijger zwaardslag slagzwaard rijdier wambuis tentflap toorts gewaad paleiswacht zwaardvechten kruisboog magiër handbreedte troonzaal waterzak perkamentrol mantel kookvuur vrouwe citadel pijlkoker fakkel strijdros speer hellebaard legionair borstwering metgezel pijlen kerker lans schild kanteel	history;war		history;war
75	86	presidentschap obama’s trump trumps democraten obama presidentskandidaat voorverkiezing inauguratie clinton republikein afgevaardigden clintons democraat congresleid democratische herverkiezing presidentsverkiezing barack presidentiel president nixon republikeins herkiezen ambtstermijn washington hillary oval congreslid witte vicepresident bush watergate verkiezingscampagne kennedy’s verkiezingsdag capitol lyndon presidentieel amerika’s campagne campagneleider kennedy verkiezingscampagnes inzweren congres kandidatuur opiniepeiling senator verkiezingsstrijd	politics		politics
76	85	vogelsoorten broeden vogelsoort zangvogel verenkleed foerageren trekvogel roofvogel vliegenvanger sperwer broedsel slechtvalk nesten overwinteren houtduif snavel huismus uitvligen specht watervogel ruien buizerds nest uitvliegen spreeuw ornitholoog zeearend kuiken mezen scholekster fuut koolmees kievite ringen torenvalk kerkuil visarend vogelaar leefgebied zilverreiger aalscholver tureluur goudvink waterhoen biotoop verspreidingsgebied prooo lijster koekoek schutkleur	wildlife/nature		wildlife / nature
77	85	gewoonweg naarling terwille ééns goedig toblen zielsgraag meisjesgezicht kwajongensachtig kindlief genoeglijk romana vinnig liefkozen zuurzoet scheiten dion kattenkop bepeinen snibben tegengevallen deerlijk enfin mispunt laconiek roeden hubert kribbig ongezellig onbezorgd hinderen heenslaan méénen weerstreven éven landerig flapuit ongenietbaar eigenwijs héérlijk trouwhartig verknoeien maren thuisvoelen drenzen notabene kibbelpartij schoonzusje hatelijk verschrikken	behaviours/feelings		behaviours / feelings
78	83	evolutionair mensapen evolutie primaat chimpansee mensaap evolueren sapien dierenrijk zoogdier bioloog diersoort darwins darwinistisch niet-menselijk darwin orang-oetan voortplanten neanderthaler genoom evolutietheorie jager-verzamelaar adaptatie darwinisme domesticeren genetisch dierenwereld genetica geneticus antropologen fossiel aap origin mensachtig overleving aapachtig biologie selectie organisme gorilla’s mensensoort taxonomie overerving zoöloog reproductief fossiliseren populatie gen evolutieleer voortplanting	wildlife/nature		wildlife / nature
79	82	cortex hersengebied stimuli hersenstructuur hersenscans nucleus hippocampus neurowetenschapper neuron hers prefrontaal hersenactiviteit hersenschor amygdala neuraal hersendeel hersenonderzoek neuronen brein plasticiteit motorisch herseen sensorisch neocortex cognitief langetermijngeheug hersenfunctie werkgeheugen informatieverwerking kwab neurowetenschap limbisch activering brain zenuwcel cognitie neurologisch hersencel synaps millisecond hersenstam neuroscience kortetermijngeheug hersenscan circuits visueel proefpersoon neural dopamine hersenhelften	medicine/health		medicine / health
80	78	tokyo osaka yen tokio prefectuur kyoto futon japans fuji stoppelveld japan kimono japanner kersenbloesem geisha mantsjoerije mari rijstpapier koffieshop sake tyfoon samoerai verstrijken eetstok doodgewoon nagasaki haiku hoegenaamd koreaans bamboe ochtendgymnastiek yoko bijbleven kalligrafie noedel koreaan bezwaarlijk zoetjesaan elektriciteitspaal ongehaast minuscuul tussenpoos tijdlang lakwerk yuan niervormig opzuigen wolkje rijstveld cicaad	geography and setting;culture		geography & setting;culture
81	77	signora signore carabinieri piazza giorgio signor veneto caffè italiaans napolitaans grappa salvatore margherita gianni piero costa giulio enzo palazzo via ciao milanees bologna napels delle siciliaanse venezia corso massimo toscaans giuseppe milaan alessandro pietro lire pepe degli di amore lorenzo vittorio giovanni sandro rossi prosciutto umberto messina maggiore loggia paolo	geography and setting;culture		geography & setting;culture
82	76	saamhorig rebbelen herademen tobben margriet warempel toblen collegaat marleen koopavond bedisselen koffietijd trouwhartig hansje ineke enfin pakkerd duster anouk anemoon aanwippen kindlief vertederd ongezellig boterhammetj thuisgekomen kwebbelen peinsen gearmd woonkeuken sjken visite ommezien belangstellend logee redderen moederen genoeglijk overgordijn prakkiseren lieke stampvoen malle gevweden zuurzoet tuinpaad koffiedrinken ginds riek hummeltje	behaviours/feelings		behaviours / feelings
83	75	partituur componist componeren beethoven symfonieen symfonie kamermuziek pianoconcert sonate mozart dirigent bach muziekstuk solist musicus sopraan symfonisch ariats orkest strijkkwartet strijker vioolconcert liszt schubert ouverture pianist muzikaal opera’s tsjaikovski debussy cantate compositie orkestlid cellist concertzaal händel conservatorium opera haydn kwartet mahler voorspelen violist adagio brahms schumann virtuoos musiceren recital chopin	culture		culture
84	75	basisonderwijs mbo vmbo studiekeuze vwo schoolprestatie leeftijdsgenoot prestatiedruk vervolgopleiding havo opvoeder hbo schoolcarrière onderwijssysteem beroepsonderwijs onderwijs beroepskeuze demotiveren schoolsysteem hbo-opleiding leerkracht arbeidsmarkt opleidingsniveau gemotiveerd basisschool docent onderwijskundig klassikaal leerstof motivatie motiveren thuissituatie hoogopgeleid schoolresultaat leeftijdgenoot lesstof excelleren zorgtaak presteren beroepsopleiding leerproces leerplicht mavo norm switchen onvoldoende ratrace ongemotiveerd rapportcijfer opvoeding	economy and work;behaviours/feelings		economy & work;behaviours / feelings
85	75	motel gevechtstenue motelkamer suburban munttelefoon mcqueen mp klaverblad staarden cadillac chevrolet humvee pick-ups nebraska personenwagen interstate lokatie ongemarkeerd handwapen chevy vaughan kentekenplaat patrouillewagen tweebaansweg roldeur pick-up steenslag sleepwagen sedan glock zichtlijn swat-team turner verchromen marinier westwood chrysler voorbumper recycling taurus parkeerterrein wachthok plaatstaal staatsgrens airconditioner stoeprand suvt quantico deuken harmonicagaas	city, travel and transport	not sure about this category, and may be something with travelling and cars would suit too	city & travel
86	75	hulpsheriff sheriff smeris county motelkamer patrouillewagen pick-up verdomm fbi-agent omleggen klootzak kroeggevecht ouweheer verlinken gelul motel neerschieten verkloten goddomm straatagent klojo politieman groentje luizen hufter staatspolitie schietincident goddomme neerknallen surveillancewagen sodemieter staatsgrens godvergeten klerezooi drugsdealer verdomme verrekt klojop nypd wegkomen parkeerterrein chevy munttelefoon pontiac deizen kogelgat knullen godallemachtig autodiefstal fbi	crime		crime
87	73	gevweden boterhammetj zierikzee doeddoen muizenis flinker met­een goedbeschouwd warempel weekeinde weekeind meesmuien tabletje huizenhoog aldoor koffiedrinken tobben halfuurt langzamerhand tegengevallen ziezo goeddoen meevallen omvligen hakkelen ongezellig collegaat gemakje weekje onbezorgd hoognodig thuisgekomen schoonzusje bedisselen onbekommerd ongemerkt mevvallen koffietijd kerktijd schoonouder moederen manmoedig landerig visite vakantieplan rien vlinderlicht opknappen piekeren joke	behaviours/feelings		behaviours / feelings
88	73	niet-moslim moslima marokkaans moslim moslimvrouwen moslimgemeenschap islam ramadan islamitisch moslims marokkanen marokko moslimland koran mohammed imam sharium islamiet moskeeën marokkaan moskee allah hoofddoek allochtone moslimwereld suikerfeest mohammeds mekka allochtonen eerwraak djellaba jihad amsterdam-west gastarbeider haram fundamentalistisch allahs allochtoon autochtoon mohamed halal turks radicaliseren autochtonen multicultureel islamist ongelovigen fundamentalist saoedisch boerka	religion, spirituality and philosophy;culture;behaviours/feelings		reli. / spirit. / phil.;culture;behaviours / feelings
89	72	luchtsluis ruimtepak shuttle ruimteschip ruimtestation controlepaneel ruimtevaartuig asteroïde bedieningspaneel holografisch dampkring satelliet nasa spaceshuttle laser astronaut brandstoftanks buitenaards radiosignaal aandrijving onbemande meteoriet laserstraal ruimtereis hologram sonar falcon bepantsering controlekamer moederschip zonnestelsel cilindrisch oppervlak gewichtloosheid sciencefictionfilm atmosferisch sensoor comrdinaat luchtdruk communicatiesysteem torpedo’s raket communicatieapparatuur rondzweven oceaanbodem lcd-scherm ruimtevaarder ruimtevaart scheidingswand roteren	science	kosmos	science
90	72	eu europees lidstaat eurozone regeringsleider unie supranationaal eu-land vluchtelingencrisis merkel monetair europa’s toetreding imf sarkozy technocraat bankencrisis begrotingstekort brexit natiestaat referendum budgettair democratieën financieel-economisch technocratisch west-europees staatsschuld zuid-europees populist frans-duits bondskanselier populistisch democratisch handelsverdrag parlement liberalisering economisch crisis liberaliseren geopolitiek hollande democratie integratie machtsblok economieen globalisering ondemocratisch christendemocratisch beleid vrijhandel	society;economy and work;politics		society;economy & work;politics
91	72	hoofdpersoon personage plot leeservaring romans hoofdpersonage bijfiguur fictioneel roman genre non-fictie literair fictie proza verhaallijn schrijfstijl verteller genres stilistisch schrijverschap autobiografisch verhalenbundel romanpersonage wereldliteratuur novelle hoofdfiguur romanschrijver debuutroman spanningsboog protagonist fictief verfilmen verfilming vertelling oeuvre romancier essayistisch literatuur synopsis flaptekst jeugdboek meeslepend recensent thematiek herschrijven literatuurwetenschapper essaybundel schrijfproces reisverhaal boekvorm	culture	books especially 	culture
92	72	nikker roodhuid d’r maïsbrood mississippi muilezel pruimtabak prairie saloon kreek achtererf missouri verandatrap ouwe paardentuig blank achterveranda maïsveld wagenwiel tennessee homer ohio meelzak neger maïsmeel maisveld huifkar watts huifkarren sheriff hollow varkenskot bliksems zwartje appalachen kentucky boomstronk schommelstoel houtzagerij strohoed schortzak creek ontiegelijk veranda uitspannen vort county jutezak alabama hekpaal	geography and setting;culture		geography & setting;culture
93	71	weerschijn purperrood toeschijnen pommaderen weldra huzaar halfluid wachtmeester uniformjas schucht blootshoofds smartelijk laagheid lorgnet zonderling goedhartig onbeweeglijk sabel goedmoedigheid roebel bekoring samowar exerceren nietswaardig droefgeestig austerlitz straatweg pfennig liefdesnacht duizendvoudig armelijk armzalig goedhartigheid willi terstond jongelied zomersproeten onvergelijkelijk eender basstem moede bekoorlijkheid lichtzinnigheid plachten bedrinken avondlijk verguan verbeiden onverwijld neerhangen	history;geography and setting		history;geography & setting
94	71	klimaatverandering opwarming broeikasgas uitstoot co2 co2-uitstoot broeikaseffect fossieel ontbossing milieuprobleem milieuvervuiling voedselproductie ecologisch vervuiling biomassa milieubeweging biodiversiteit vervuiler methaan wereldbevolking milieuramp ozonlaag zonne-energie luchtvervuiling klimaat milieuactivist energiebron ocean klimatologisch kernenergie energievoorziening milieuorganisatie duurzaam climate milieubescherming milieu biosfeer koolstofdioxien ecosysteem kooldioxide bevolkingsgroei wereldwijd zonnepanelen aardolie mondiaal emissie hulpbron greenpeace energiezuinig ecologie	wildlife/nature;society		wildlife / nature;society
95	70	zuiderzee afsluitdijk polder rijkswaterstaat noord-holland zuid-hollands dijk ijsselmeer groninger waddenzee friesland waterschap zeeuws gronings zuid-holland delfzijl noord-hollands polderland watersnoodramp harlingen watersnood waterstaat waterstand droogleggen wadden flevoland noord-nederland vaarten waddeneilanden noordzee stormvloed visserij waterland urk ijssel zeeuws-vlaanderen zeeuw zandplaat drents sneek terp drenthe hoogwater zeeland groningen overijssel fries zeedijk gelders harderwijk	history;geography and setting		history;geography & setting
96	69	bommel ollie poes hernemen welnemen hocus goedvinde schicht denkraam politiechef bewolken super grijsaard hiep prevelen tijn markies betreurenswaardig ontstemming binnentreden argus doctorandus verstouten politiebeambte joost bul vertrekje ventje florijn héél toornig gestel tom olivier boomgroep spoeden hm versterven klonter komaan waarweren verversing dinges vreesachtig tiens vertreden ochtendblad gelaat toonder onthutsen	other	I think it is something about children, makes me think about Dickens, but I’m not sure	other
97	69	natuurkundig fysicus relativiteitstheorie einsteins lichtsnelheid heelal oerknal astrofysicus kwantummechanica sterrenkundig zonnestelsel zwaartekracht subatomair einstein fysica newtons atoom relativiteit natuurkunde materie melkwegstelsel astronoom sterrenstelsel kosmologisch elektroon foton kosmologie standaardmodel elektron atomair proton supernova newton kwantumfysica mechanica lichtjaar fysisch hawking thermodynamicaa planck hemellichamen wiskundig astronomisch universum neutron astronomie sterrenkunde copernicus elektromagnetisch hemellichaam	science		science
98	68	schilderkunst schilder kunstenaar kunsthistoricus kunstcriticus zelfportret manet kunstwerk impressionisme impressionist titiaan figuratief kunsthistorisch kubistisch kunstliefhebber kunstwereld cézanne ëxposeren kunstkenner stilleven picasso impressionistisch tentoonstelling degas penseelstreek olieverf beeldend portretteren picasso’s matisse exposeren beeldhouwkunst meesterwerk kunstgeschiedenis portret expressionisme mondriaan rembrandt renoir portretschilder gauguin overzichtstentoonstelling afbelen tentoonstellen gallery kleurgebruik rothko natuurgetrouw beschouwer reproductie	culture		culture
99	68	hindi roepie indias bombay indiër delhi mumbai calcutta punjab indiaas brahmaan indiërs hindoe madras sikh bengaals india onaanraakbaar ashram subcontinent ganges urdu baba raj bananenblad hindoeïstisch tulband shiva singh moesson kaste hindoestaans mangoboom krishna goa waterbuffel bengalen karachi wierookstokje sari fakir rijstveld mahal chai rama taj kali shah sri gandhi	geography and setting;culture		geography & setting;culture
100	67	toendra arctisch onherbergzaam poolcirkel poolgebied fjord groenland gletsjer lapland boomloos inuit noordpoolgebied ijsland ongerp newfoundland ijszee bergrug rotspartij eskimop ijsschots antarctica sneeuwveld rotsformatie zwerfkeien hooggelegen eilandengroep bergketen kustlijn trektocht ijsvlakte valleien noors zuidpunt ontdekkingsreiziger zuidpool smeltwater ongerept expeditie landinwaart onbewoonde wildernis stenig noordpool laagland natuurschoon noordelijk ijslands scandinavië hooggebergte afgelegen	geography and setting;wildlife/nature		geography & setting;wildlife / nature
101	65	bond bonds inlichting schadden diplomatenkoffer whisky-soda contraspionage kgb aktentas mi6 dubbelspion sis attaché sigarettenkoker whitehall mi5 engelsman codenaam spion telegrafisch directoraat dubbelagent smiley dekmantel voorschijn overloper inlichtingendienst cia yard vauxhall spionnen sir wapenhandelaar ambassade kolonel clandestien spionage employé telegramm introductiebrief scotland verbindingsman schrijfbureau eersteklas majoor employés rendez-vous aktetas marylebone schakelbord	politics;crime	spionage	politics;crime
102	65	achterdek vooronder deining dek matroos voordek grootzeil gangboord kajuit voorplecht stuurman zeil stuurhut mast bakboord scheepje bootsman benedendeks stuurboord zeeziek scheepswand reven roerganger achterplecht sloep patrijspoort achterstef midscheeps windstilte zeilschip schipper slagzij kombuis buitengaats achterschip bovendek sleepboot achtersteven doorvaren boegspriet losgooien zeelui voorstefen zeeman boeg tuigage machinekamer helmstok zeeziekte bolder	culture;city, travel and transport	marine	culture;city & travel
103	64	opstijven poedersuiker bakvorm kristalsuiker mixer bakpapier plasticfolie mengkom voorverwarmen afkoelen bakpoeder eidooier slagroom bakblik veten mespunt cacaopoeder bakplaat mixpen kamertemperatuur vulling deeg prikker keukenmachine taar kruimelig melkchocolade karamel frambozenjam glazuur oven karamelliseren bladerdeeg steelpan chocolade knijden kokos citroenschil bikken crème rietsuiker bestrijken invetten mengsel goudbruin vanille spatel gelatine ahornsiroop verwarmen	behaviours/feelings	Cooking — may be also lifestyle?	behaviours / feelings
104	64	rechter-commissaris justitieel kroongetuige aanhouding verdachten voorarrest strafzaak misdaadverslaggever liquidatie justitie processen-verbaal celstraf opsporing proces-verbaal requisitoir reclassering klepper zwijgrecht verdacht detentie gevangenisstraf misdrijf vrijheidsberoving doodslag amstelveen gerechtshof crimineel getuigenverhoor politieverhoor hoofdofficier rechercheteam strafrechtelijk opsporingsambtenaar strafproce penitentiair hechtenis politieambtenaar cor politiecel bewaring geruchtmaken afpersing dader aangifte vrijspreken delinquenen invrijheidstelling strafmaat verhoor strafbaar	crime		crime
105	64	renner wielrennen klassement wielrenner giro tour etappe sprinter finish verrijden valpartij eindsprint bergop parcours raas peloton ploeggenoot eindstreep doping finishlijn beklimming finishen bidon zesdaags col wereldkampioenschap sprint wereldkampioen koploper zege racefiet ploeg kanshebber france mecanicien voorsprong rugnummer wereldtitel klimmer prof koersen aerodynamisch coureur kasseien kampioen start achterstand eindoverwinning slipstream tijdslimiet	lifestyle and sport		lifestyle & sport
106	64	fietspad trambaan fietser bakfiet overtoom snackbar stoeptegel kekk vondelpark fietstas lantarenpaal snelbinder brommertje fiets bagagedrager evelien brommer fietsen aanfietsen koekeloeren leidseplein zebrapad pui museumplein leidsestraat sigareen winkelstraat uitbater damesfiet fietsstuur regenpak heijn kroket passant achterop plantsoen oud-hollands zonnetje trapper stoplicht fietsenmaker tramhalte knalgeel langsfietsen rokin nieuwbouwwijk verkeersbord alpinopet zwabberen racefiet	city, travel and transport		city & travel
107	64	astraal omhulling levensweg doorleven incarneren levensles esoterisch inwerking doorvoelen aards scheppingskracht engelen geestkracht geestesleven omvorming doorstralen incarnatie geestelijke bewustwording uittreding stolp karmisch allesbeslissend steiner levensplan transformatieproces inwijd schouwen overgangstijd vergeestelijken groeiproces diepst inwijding oerkracht etherisch bovenzinnelijk bewustzijnsniveau levenservaring terugblik reïncarnatie spiritueel nazareth aartsengel esoterie stervensproces helderziendheid michaël levenspad liefdeloosheid ingewijden	religion, spirituality and philosophy		reli. / spirit. / phil.
108	63	sexy jemig getver date stilettohak maf suff sexyer naaldhak supersexy gênant sletterig goh wauw flirterig jeetje versierpoging minirokje huisgenote blondine make-up lingerie gatver optutten pumps jakkes lingeriesetje huisgenootje scharrel maff valentijnsdag plateauzool jee krengerig bofkont felroos lipgloss haltertop spuuglelijk bloedmooi yogabroek knalroos zwijmelen etentje jeminee supermodel huisgenoot jezusmina superslank allemachtig	romance and sex		romance & sex
109	63	bedstee boerin klomp slootkant arie melkbus melken boerendochter teun melkemmer erf prakkiseren boerinnen woonkeuken boerenzoon boerenwerk hoeve neeltje voorhuis petroleumstel veldwachter sloot hoef boerenknecht rinus stee koos melkfabriek bunder bovenmeester hooi warempel jans manvolk geertje knecht werkvolk weerom koe stro meidje hooien riek kalven borreltje hooiland grietje gerrit paardendeek antje	culture;geography and setting	farmer life	culture;geography & setting
110	62	jord-aans mossad israëlit kernkop amman hezbollah jordanië iraniërs satelliettelefoon commandocentrum iraans israëlisch iraniër iran farsi beveiligingsteam beiroet israëliër midden-oosten raketaanval autobom veiligheidsadviseur cia-agent teheran bennett zelfmoordaanslag libanon iraaks saoedi-arabië uzi arafat luchtmachtbasis jordaanoever irakees cia terreurorganisatie attachékoffer bagdad syrië ayatollah zelfmoordterrorist kernraket irak gaza syrisch aviv inlichtingendienst safehouse satellietverbinding terrorist	geography and setting;culture;war		geography & setting;culture;war
111	62	www tel. www. com openingstijd .be .com prijzig .nl sfeervol web toegangsprijs toeristenbureau info gost cafés andalusië casa aanrader wijnhuis .net vissershaven laagseizoen verken toplocatie livemuziek rondvaart granada sprookjeskasteel hoogseizoen largo dagtocht kanoën moors bruisend tapas medio plaza portal residentie gov bezienswaardigheid bucketlist twitter.com nacional landhuis bram alamy kunstnijverheid rondleiding	other;city, travel and transport	internet, travel	other;city & travel
112	61	banks burgess leeds yorkshire queen’s arms templeton heuvelhelling pubs annie opschrijfboekje pub payne voorzover inspecteur tracy dales cid cottage hoofdinspecteur merchant pint ayj alan brigadier gill ripper lancashire politieart keitje barber annies parkeerhaven loskrijgen reynolds moordonderzoek gluurder richmond twee-onder-een-kapwoning sandra elpee dirty straatagent barry cardiff poole zuid-londen halfvrijstaand kantoormedewerker rice	crime;economy and work;society;geography and setting	"a mix of everything, not sure about crime, but a mixture of „pub“ and „ hoofinspecteur“ makes me think of crime
Marijn: this is also situated in the UK, so I’d add ""geography and setting”"	crime;economy & work;society;geography & setting
